date,store_id,region,product_id,category,year,month,day_of_week,weekend_flag,holiday_flag,regular_price,selling_price,competitor_price,unit_cost,discount_pct,promotion_flag,promotion_type,promotion_propensity,advertising_spend,supplier_cost_index,shipping_cost_index,weather_index,customer_traffic,inventory_level,stockout_flag,units_sold,revenue,gross_profit,true_price_elasticity
2024-01-01,S002,West,P001,Beverages,2024,1,Monday,0,1,4.5,4.5,4.21,2.12,0.0,0,none,0.23,7.42,1.0024,1.0188,0.5661,961,66,0,47,211.38,111.95,-1.8
2024-01-01,S002,West,P002,Beverages,2024,1,Monday,0,1,7.07,7.07,7.09,3.22,0.0,0,none,0.23,10.4,1.0024,1.0188,0.5661,961,34,1,34,240.34,130.74,-2.1
2024-01-01,S002,West,P003,Beverages,2024,1,Monday,0,1,9.71,8.55,9.6,4.63,0.12,1,bundle_offer,0.23,55.59,1.0024,1.0188,0.5661,961,66,0,51,435.86,199.54,-2.4
2024-01-01,S002,West,P004,Grocery,2024,1,Monday,0,1,3.97,3.97,4.08,1.76,0.0,0,none,0.2,28.87,1.0024,1.0188,0.5661,961,53,0,53,210.66,117.23,-1.4
2024-01-01,S002,West,P005,Grocery,2024,1,Monday,0,1,5.38,5.38,5.34,2.57,0.0,0,none,0.2,6.99,1.0024,1.0188,0.5661,961,57,0,39,209.72,109.54,-1.7
2024-01-01,S002,West,P006,Grocery,2024,1,Monday,0,1,8.93,7.14,8.99,4.33,0.2,1,percentage_discount,0.2,49.15,1.0024,1.0188,0.5661,961,62,0,57,406.99,160.09,-2.0
2024-01-01,S002,West,P007,Household,2024,1,Monday,0,1,7.46,6.57,7.42,3.83,0.12,1,bundle_offer,0.2,60.78,1.0024,1.0188,0.5661,961,50,0,38,249.59,104.13,-1.2
2024-01-01,S002,West,P008,Household,2024,1,Monday,0,1,13.36,13.36,14.28,6.55,0.0,0,none,0.2,14.01,1.0024,1.0188,0.5661,961,23,0,15,200.33,102.11,-1.5
2024-01-01,S002,West,P009,Personal Care,2024,1,Monday,0,1,6.81,6.81,6.57,3.02,0.0,0,none,0.2,25.45,1.0024,1.0188,0.5661,961,44,0,38,258.79,143.95,-1.3
2024-01-01,S002,West,P010,Personal Care,2024,1,Monday,0,1,11.01,8.26,10.95,5.29,0.25,1,percentage_discount,0.2,85.11,1.0024,1.0188,0.5661,961,55,0,55,454.2,163.33,-1.6
2024-01-01,S003,Central,P001,Beverages,2024,1,Monday,0,1,4.54,4.54,4.72,2.12,0.0,0,none,0.23,30.29,1.0024,1.0188,0.5661,1352,77,0,70,318.14,170.06,-1.8
2024-01-01,S003,Central,P002,Beverages,2024,1,Monday,0,1,7.44,5.58,7.93,3.22,0.25,1,percentage_discount,0.23,47.5,1.0024,1.0188,0.5661,1352,263,0,164,915.21,386.56,-2.1
2024-01-01,S003,Central,P003,Beverages,2024,1,Monday,0,1,9.58,8.15,9.78,4.63,0.15,1,percentage_discount,0.23,34.3,1.0024,1.0188,0.5661,1352,97,0,78,635.38,273.95,-2.4
2024-01-01,S003,Central,P004,Grocery,2024,1,Monday,0,1,3.95,3.95,3.72,1.76,0.0,0,none,0.2,18.25,1.0024,1.0188,0.5661,1352,86,0,70,276.31,152.91,-1.4
2024-01-01,S003,Central,P005,Grocery,2024,1,Monday,0,1,5.69,5.69,5.56,2.57,0.0,0,none,0.2,16.21,1.0024,1.0188,0.5661,1352,64,1,64,364.21,199.82,-1.7
2024-01-01,S003,Central,P006,Grocery,2024,1,Monday,0,1,9.13,9.13,10.21,4.33,0.0,0,none,0.2,11.17,1.0024,1.0188,0.5661,1352,66,0,54,493.14,259.24,-2.0
2024-01-01,S003,Central,P007,Household,2024,1,Monday,0,1,7.72,7.72,7.56,3.83,0.0,0,none,0.2,0.82,1.0024,1.0188,0.5661,1352,54,0,37,285.57,143.94,-1.2
2024-01-01,S003,Central,P008,Household,2024,1,Monday,0,1,13.69,13.69,14.74,6.55,0.0,0,none,0.2,17.25,1.0024,1.0188,0.5661,1352,41,1,41,561.38,292.92,-1.5
2024-01-01,S003,Central,P009,Personal Care,2024,1,Monday,0,1,6.31,6.31,7.42,3.02,0.0,0,none,0.2,8.63,1.0024,1.0188,0.5661,1352,55,0,40,252.54,131.66,-1.3
2024-01-01,S003,Central,P010,Personal Care,2024,1,Monday,0,1,10.86,10.86,11.28,5.29,0.0,0,none,0.2,14.99,1.0024,1.0188,0.5661,1352,24,0,21,227.98,116.92,-1.6
2024-01-01,S004,East,P001,Beverages,2024,1,Monday,0,1,4.54,4.54,4.86,2.12,0.0,0,none,0.23,19.24,1.0024,1.0188,0.5661,998,80,0,50,226.98,121.21,-1.8
2024-01-01,S004,East,P002,Beverages,2024,1,Monday,0,1,6.98,6.29,7.68,3.22,0.1,1,percentage_discount,0.23,85.03,1.0024,1.0188,0.5661,998,73,0,64,402.29,195.99,-2.1
2024-01-01,S004,East,P003,Beverages,2024,1,Monday,0,1,9.55,9.55,9.83,4.63,0.0,0,none,0.23,21.84,1.0024,1.0188,0.5661,998,47,0,23,219.6,113.03,-2.4
2024-01-01,S004,East,P004,Grocery,2024,1,Monday,0,1,3.92,3.92,3.99,1.76,0.0,0,none,0.2,15.66,1.0024,1.0188,0.5661,998,63,0,42,164.71,90.67,-1.4
2024-01-01,S004,East,P005,Grocery,2024,1,Monday,0,1,5.59,5.59,5.73,2.57,0.0,0,none,0.2,20.37,1.0024,1.0188,0.5661,998,72,0,53,296.12,159.98,-1.7
2024-01-01,S004,East,P006,Grocery,2024,1,Monday,0,1,9.29,9.29,9.26,4.33,0.0,0,none,0.2,17.51,1.0024,1.0188,0.5661,998,66,0,47,436.71,233.13,-2.0
2024-01-01,S004,East,P007,Household,2024,1,Monday,0,1,7.8,7.8,8.11,3.83,0.0,0,none,0.2,31.95,1.0024,1.0188,0.5661,998,37,0,33,257.43,131.11,-1.2
2024-01-01,S004,East,P008,Household,2024,1,Monday,0,1,13.07,13.07,12.42,6.55,0.0,0,none,0.2,24.26,1.0024,1.0188,0.5661,998,26,0,26,339.78,169.54,-1.5
2024-01-01,S004,East,P009,Personal Care,2024,1,Monday,0,1,6.79,5.77,6.25,3.02,0.15,1,bundle_offer,0.2,55.74,1.0024,1.0188,0.5661,998,81,0,60,346.22,164.9,-1.3
2024-01-01,S004,East,P010,Personal Care,2024,1,Monday,0,1,10.88,10.88,10.64,5.29,0.0,0,none,0.2,20.5,1.0024,1.0188,0.5661,998,23,0,21,228.49,117.43,-1.6
2024-01-01,S005,East,P001,Beverages,2024,1,Monday,0,1,4.57,4.57,4.12,2.12,0.0,0,none,0.23,13.27,1.0024,1.0188,0.5661,940,39,0,34,155.3,83.37,-1.8
2024-01-01,S005,East,P002,Beverages,2024,1,Monday,0,1,7.19,7.19,7.62,3.22,0.0,0,none,0.23,26.55,1.0024,1.0188,0.5661,940,39,1,39,280.25,154.53,-2.1
2024-01-01,S005,East,P003,Beverages,2024,1,Monday,0,1,9.41,8.47,9.79,4.63,0.1,1,percentage_discount,0.23,48.18,1.0024,1.0188,0.5661,940,49,0,37,313.32,141.87,-2.4
2024-01-01,S005,East,P004,Grocery,2024,1,Monday,0,1,3.97,3.97,4.04,1.76,0.0,0,none,0.2,28.63,1.0024,1.0188,0.5661,940,63,0,39,154.96,86.21,-1.4
2024-01-01,S005,East,P005,Grocery,2024,1,Monday,0,1,5.4,5.4,5.52,2.57,0.0,0,none,0.2,28.48,1.0024,1.0188,0.5661,940,37,1,37,199.95,104.91,-1.7
2024-01-01,S005,East,P006,Grocery,2024,1,Monday,0,1,8.98,8.98,9.25,4.33,0.0,0,none,0.2,6.7,1.0024,1.0188,0.5661,940,24,0,22,197.55,102.26,-2.0
2024-01-01,S005,East,P007,Household,2024,1,Monday,0,1,7.66,7.66,7.99,3.83,0.0,0,none,0.2,12.36,1.0024,1.0188,0.5661,940,24,0,18,137.81,68.91,-1.2
2024-01-01,S005,East,P008,Household,2024,1,Monday,0,1,13.1,11.79,11.47,6.55,0.1,1,percentage_discount,0.2,44.85,1.0024,1.0188,0.5661,940,22,0,20,235.76,104.81,-1.5
2024-01-01,S005,East,P009,Personal Care,2024,1,Monday,0,1,6.65,6.65,7.15,3.02,0.0,0,none,0.2,28.62,1.0024,1.0188,0.5661,940,31,0,19,126.38,68.97,-1.3
2024-01-01,S005,East,P010,Personal Care,2024,1,Monday,0,1,11.24,11.24,10.89,5.29,0.0,0,none,0.2,13.24,1.0024,1.0188,0.5661,940,20,1,20,224.86,119.09,-1.6
2024-01-02,S001,West,P001,Beverages,2024,1,Tuesday,0,0,4.52,4.52,4.13,2.13,0.0,0,none,0.16,25.43,1.0083,1.0353,0.4015,964,58,0,28,126.6,66.84,-1.8
2024-01-02,S001,West,P002,Beverages,2024,1,Tuesday,0,0,7.09,7.09,7.33,3.25,0.0,0,none,0.16,20.9,1.0083,1.0353,0.4015,964,40,1,40,283.77,153.67,-2.1
2024-01-02,S001,West,P003,Beverages,2024,1,Tuesday,0,0,9.91,9.91,10.27,4.68,0.0,0,none,0.16,16.95,1.0083,1.0353,0.4015,964,28,0,28,277.54,146.64,-2.4
2024-01-02,S001,West,P004,Grocery,2024,1,Tuesday,0,0,4.1,4.1,3.97,1.78,0.0,0,none,0.13,20.66,1.0083,1.0353,0.4015,964,61,0,56,229.66,130.06,-1.4
2024-01-02,S001,West,P005,Grocery,2024,1,Tuesday,0,0,5.32,5.32,5.27,2.59,0.0,0,none,0.13,15.65,1.0083,1.0353,0.4015,964,43,0,34,181.0,92.88,-1.7
2024-01-02,S001,West,P006,Grocery,2024,1,Tuesday,0,0,9.24,9.24,9.48,4.37,0.0,0,none,0.13,22.95,1.0083,1.0353,0.4015,964,36,0,36,332.77,175.43,-2.0
2024-01-02,S001,West,P007,Household,2024,1,Tuesday,0,0,7.87,7.87,8.61,3.86,0.0,0,none,0.13,18.73,1.0083,1.0353,0.4015,964,29,1,29,228.26,116.26,-1.2
2024-01-02,S001,West,P008,Household,2024,1,Tuesday,0,0,13.15,13.15,13.83,6.61,0.0,0,none,0.13,26.68,1.0083,1.0353,0.4015,964,18,0,8,105.19,52.34,-1.5
2024-01-02,S001,West,P009,Personal Care,2024,1,Tuesday,0,0,6.67,6.67,6.65,3.05,0.0,0,none,0.13,2.07,1.0083,1.0353,0.4015,964,25,1,25,166.7,90.48,-1.3
2024-01-02,S001,West,P010,Personal Care,2024,1,Tuesday,0,0,10.93,10.93,10.76,5.34,0.0,0,none,0.13,37.36,1.0083,1.0353,0.4015,964,26,0,23,251.3,128.58,-1.6
2024-01-02,S002,West,P001,Beverages,2024,1,Tuesday,0,0,4.58,4.12,4.59,2.13,0.1,1,percentage_discount,0.16,72.36,1.0083,1.0353,0.4015,707,82,0,45,185.36,89.31,-1.8
2024-01-02,S002,West,P002,Beverages,2024,1,Tuesday,0,0,6.95,6.95,6.99,3.25,0.0,0,none,0.16,29.23,1.0083,1.0353,0.4015,707,33,0,22,153.0,81.45,-2.1
2024-01-02,S002,West,P003,Beverages,2024,1,Tuesday,0,0,9.93,8.93,10.02,4.68,0.1,1,percentage_discount,0.16,41.08,1.0083,1.0353,0.4015,707,40,0,28,250.14,119.24,-2.4
2024-01-02,S002,West,P004,Grocery,2024,1,Tuesday,0,0,3.85,3.85,3.73,1.78,0.0,0,none,0.13,19.98,1.0083,1.0353,0.4015,707,39,0,30,115.53,62.17,-1.4
2024-01-02,S002,West,P005,Grocery,2024,1,Tuesday,0,0,5.59,5.59,5.88,2.59,0.0,0,none,0.13,21.08,1.0083,1.0353,0.4015,707,49,0,34,190.22,102.1,-1.7
2024-01-02,S002,West,P006,Grocery,2024,1,Tuesday,0,0,9.17,9.17,8.79,4.37,0.0,0,none,0.13,8.04,1.0083,1.0353,0.4015,707,19,1,19,174.19,91.16,-2.0
2024-01-02,S002,West,P007,Household,2024,1,Tuesday,0,0,7.69,7.69,7.48,3.86,0.0,0,none,0.13,25.2,1.0083,1.0353,0.4015,707,27,0,13,99.96,49.75,-1.2
2024-01-02,S002,West,P008,Household,2024,1,Tuesday,0,0,13.49,13.49,13.64,6.61,0.0,0,none,0.13,20.1,1.0083,1.0353,0.4015,707,22,0,17,229.33,117.02,-1.5
2024-01-02,S002,West,P009,Personal Care,2024,1,Tuesday,0,0,6.92,6.92,7.16,3.05,0.0,0,none,0.13,0.0,1.0083,1.0353,0.4015,707,34,0,31,214.49,119.97,-1.3
2024-01-02,S002,West,P010,Personal Care,2024,1,Tuesday,0,0,10.89,10.89,12.02,5.34,0.0,0,none,0.13,8.22,1.0083,1.0353,0.4015,707,18,0,10,108.91,55.55,-1.6
2024-01-02,S003,Central,P001,Beverages,2024,1,Tuesday,0,0,4.38,4.38,4.32,2.13,0.0,0,none,0.16,24.5,1.0083,1.0353,0.4015,985,36,1,36,157.8,80.97,-1.8
2024-01-02,S003,Central,P002,Beverages,2024,1,Tuesday,0,0,7.02,7.02,7.42,3.25,0.0,0,none,0.16,21.58,1.0083,1.0353,0.4015,985,34,0,34,238.81,128.23,-2.1
2024-01-02,S003,Central,P003,Beverages,2024,1,Tuesday,0,0,9.64,9.64,9.36,4.68,0.0,0,none,0.16,7.74,1.0083,1.0353,0.4015,985,29,1,29,279.5,143.92,-2.4
2024-01-02,S003,Central,P004,Grocery,2024,1,Tuesday,0,0,4.2,3.15,3.99,1.78,0.25,1,percentage_discount,0.13,69.6,1.0083,1.0353,0.4015,985,206,0,152,478.37,208.02,-1.4
2024-01-02,S003,Central,P005,Grocery,2024,1,Tuesday,0,0,5.37,5.37,6.2,2.59,0.0,0,none,0.13,14.76,1.0083,1.0353,0.4015,985,45,0,45,241.65,125.02,-1.7
2024-01-02,S003,Central,P006,Grocery,2024,1,Tuesday,0,0,9.08,7.71,9.29,4.37,0.15,1,percentage_discount,0.13,91.74,1.0083,1.0353,0.4015,985,61,0,60,462.85,200.63,-2.0
2024-01-02,S003,Central,P007,Household,2024,1,Tuesday,0,0,7.65,7.65,7.6,3.86,0.0,0,none,0.13,32.78,1.0083,1.0353,0.4015,985,27,0,23,175.84,87.01,-1.2
2024-01-02,S003,Central,P008,Household,2024,1,Tuesday,0,0,13.52,13.52,13.85,6.61,0.0,0,none,0.13,27.7,1.0083,1.0353,0.4015,985,30,0,21,283.87,145.14,-1.5
2024-01-02,S003,Central,P009,Personal Care,2024,1,Tuesday,0,0,6.5,6.5,5.99,3.05,0.0,0,none,0.13,5.07,1.0083,1.0353,0.4015,985,35,0,34,221.07,117.4,-1.3
2024-01-02,S003,Central,P010,Personal Care,2024,1,Tuesday,0,0,11.48,11.48,10.82,5.34,0.0,0,none,0.13,24.69,1.0083,1.0353,0.4015,985,26,0,19,218.09,116.71,-1.6
2024-01-02,S004,East,P001,Beverages,2024,1,Tuesday,0,0,4.63,4.63,4.86,2.13,0.0,0,none,0.16,28.01,1.0083,1.0353,0.4015,879,63,0,46,213.04,114.86,-1.8
2024-01-02,S004,East,P002,Beverages,2024,1,Tuesday,0,0,7.06,7.06,7.75,3.25,0.0,0,none,0.16,14.33,1.0083,1.0353,0.4015,879,34,1,34,240.17,129.59,-2.1
2024-01-02,S004,East,P003,Beverages,2024,1,Tuesday,0,0,9.71,7.77,8.32,4.68,0.2,1,percentage_discount,0.16,49.51,1.0083,1.0353,0.4015,879,62,0,57,442.61,176.12,-2.4
2024-01-02,S004,East,P004,Grocery,2024,1,Tuesday,0,0,4.03,4.03,4.32,1.78,0.0,0,none,0.13,10.19,1.0083,1.0353,0.4015,879,51,0,39,157.03,87.67,-1.4
2024-01-02,S004,East,P005,Grocery,2024,1,Tuesday,0,0,5.7,5.25,5.55,2.59,0.08,1,bundle_offer,0.13,45.98,1.0083,1.0353,0.4015,879,83,0,56,293.76,148.63,-1.7
2024-01-02,S004,East,P006,Grocery,2024,1,Tuesday,0,0,9.01,9.01,8.01,4.37,0.0,0,none,0.13,6.03,1.0083,1.0353,0.4015,879,22,1,22,198.12,101.97,-2.0
2024-01-02,S004,East,P007,Household,2024,1,Tuesday,0,0,7.71,7.71,8.02,3.86,0.0,0,none,0.13,18.47,1.0083,1.0353,0.4015,879,36,0,13,100.28,50.08,-1.2
2024-01-02,S004,East,P008,Household,2024,1,Tuesday,0,0,13.46,12.11,11.59,6.61,0.1,1,percentage_discount,0.13,77.02,1.0083,1.0353,0.4015,879,35,0,25,302.78,137.62,-1.5
2024-01-02,S004,East,P009,Personal Care,2024,1,Tuesday,0,0,6.72,6.72,7.02,3.05,0.0,0,none,0.13,15.03,1.0083,1.0353,0.4015,879,37,0,31,208.47,113.95,-1.3
2024-01-02,S004,East,P010,Personal Care,2024,1,Tuesday,0,0,11.25,11.25,12.12,5.34,0.0,0,none,0.13,10.63,1.0083,1.0353,0.4015,879,19,0,12,134.96,70.92,-1.6
2024-01-02,S005,East,P001,Beverages,2024,1,Tuesday,0,0,4.7,3.76,4.65,2.13,0.2,1,percentage_discount,0.16,55.21,1.0083,1.0353,0.4015,841,103,0,81,304.3,131.42,-1.8
2024-01-02,S005,East,P002,Beverages,2024,1,Tuesday,0,0,7.39,7.39,7.5,3.25,0.0,0,none,0.16,19.62,1.0083,1.0353,0.4015,841,39,0,36,265.9,148.81,-2.1
2024-01-02,S005,East,P003,Beverages,2024,1,Tuesday,0,0,9.45,8.32,9.78,4.68,0.12,1,bundle_offer,0.16,63.16,1.0083,1.0353,0.4015,841,32,0,31,257.88,112.95,-2.4
2024-01-02,S005,East,P004,Grocery,2024,1,Tuesday,0,0,3.97,3.97,4.12,1.78,0.0,0,none,0.13,3.71,1.0083,1.0353,0.4015,841,37,0,31,123.21,68.07,-1.4
2024-01-02,S005,East,P005,Grocery,2024,1,Tuesday,0,0,5.47,5.47,5.66,2.59,0.0,0,none,0.13,28.3,1.0083,1.0353,0.4015,841,47,0,31,169.45,89.11,-1.7
2024-01-02,S005,East,P006,Grocery,2024,1,Tuesday,0,0,9.17,8.44,8.78,4.37,0.08,1,feature_display,0.13,54.21,1.0083,1.0353,0.4015,841,46,0,43,362.77,174.84,-2.0
2024-01-02,S005,East,P007,Household,2024,1,Tuesday,0,0,7.63,7.63,8.35,3.86,0.0,0,none,0.13,8.7,1.0083,1.0353,0.4015,841,28,0,19,145.05,71.67,-1.2
2024-01-02,S005,East,P008,Household,2024,1,Tuesday,0,0,13.3,13.3,11.55,6.61,0.0,0,none,0.13,21.17,1.0083,1.0353,0.4015,841,20,0,14,186.27,93.78,-1.5
2024-01-02,S005,East,P009,Personal Care,2024,1,Tuesday,0,0,6.49,5.19,7.05,3.05,0.2,1,percentage_discount,0.13,58.3,1.0083,1.0353,0.4015,841,42,0,41,212.78,87.76,-1.3
2024-01-02,S005,East,P010,Personal Care,2024,1,Tuesday,0,0,11.7,11.7,11.42,5.34,0.0,0,none,0.13,25.75,1.0083,1.0353,0.4015,841,15,1,15,175.47,95.43,-1.6
2024-01-03,S001,West,P001,Beverages,2024,1,Wednesday,0,0,4.52,4.52,4.34,2.12,0.0,0,none,0.16,6.46,1.0039,1.0264,0.5192,960,47,0,43,194.41,103.14,-1.8
2024-01-03,S001,West,P002,Beverages,2024,1,Wednesday,0,0,7.01,7.01,7.22,3.23,0.0,0,none,0.16,9.94,1.0039,1.0264,0.5192,960,34,0,33,231.24,124.51,-2.1
2024-01-03,S001,West,P003,Beverages,2024,1,Wednesday,0,0,9.6,9.6,9.86,4.65,0.0,0,none,0.16,25.58,1.0039,1.0264,0.5192,960,27,0,16,153.56,79.17,-2.4
2024-01-03,S001,West,P004,Grocery,2024,1,Wednesday,0,0,3.92,3.92,3.8,1.77,0.0,0,none,0.13,13.54,1.0039,1.0264,0.5192,960,49,0,43,168.62,92.56,-1.4
2024-01-03,S001,West,P005,Grocery,2024,1,Wednesday,0,0,5.67,5.67,5.91,2.58,0.0,0,none,0.13,5.71,1.0039,1.0264,0.5192,960,69,0,47,266.55,145.42,-1.7
2024-01-03,S001,West,P006,Grocery,2024,1,Wednesday,0,0,9.4,7.99,9.29,4.35,0.15,1,bundle_offer,0.13,47.93,1.0039,1.0264,0.5192,960,79,0,59,471.23,214.82,-2.0
2024-01-03,S001,West,P007,Household,2024,1,Wednesday,0,0,7.59,7.59,8.31,3.84,0.0,0,none,0.13,22.24,1.0039,1.0264,0.5192,960,21,0,18,136.65,67.52,-1.2
2024-01-03,S001,West,P008,Household,2024,1,Wednesday,0,0,12.98,12.98,13.06,6.57,0.0,0,none,0.13,33.06,1.0039,1.0264,0.5192,960,19,0,17,220.74,109.06,-1.5
2024-01-03,S001,West,P009,Personal Care,2024,1,Wednesday,0,0,6.61,6.61,7.14,3.03,0.0,0,none,0.13,31.18,1.0039,1.0264,0.5192,960,30,0,24,158.69,85.92,-1.3
2024-01-03,S001,West,P010,Personal Care,2024,1,Wednesday,0,0,11.26,10.36,11.64,5.31,0.08,1,bundle_offer,0.13,69.87,1.0039,1.0264,0.5192,960,38,0,30,310.79,151.61,-1.6
2024-01-03,S002,West,P001,Beverages,2024,1,Wednesday,0,0,4.3,4.3,3.96,2.12,0.0,0,none,0.16,21.61,1.0039,1.0264,0.5192,829,21,1,21,90.3,45.73,-1.8
2024-01-03,S002,West,P002,Beverages,2024,1,Wednesday,0,0,7.28,7.28,7.39,3.23,0.0,0,none,0.16,21.26,1.0039,1.0264,0.5192,829,41,0,30,218.48,121.46,-2.1
2024-01-03,S002,West,P003,Beverages,2024,1,Wednesday,0,0,9.63,9.63,9.64,4.65,0.0,0,none,0.16,12.06,1.0039,1.0264,0.5192,829,19,1,19,182.9,94.57,-2.4
2024-01-03,S002,West,P004,Grocery,2024,1,Wednesday,0,0,4.06,4.06,3.9,1.77,0.0,0,none,0.13,9.67,1.0039,1.0264,0.5192,829,52,0,40,162.32,91.57,-1.4
2024-01-03,S002,West,P005,Grocery,2024,1,Wednesday,0,0,5.66,5.66,5.82,2.58,0.0,0,none,0.13,23.88,1.0039,1.0264,0.5192,829,43,1,43,243.47,132.65,-1.7
2024-01-03,S002,West,P006,Grocery,2024,1,Wednesday,0,0,9.18,9.18,9.76,4.35,0.0,0,none,0.13,29.83,1.0039,1.0264,0.5192,829,30,0,24,220.34,116.04,-2.0
2024-01-03,S002,West,P007,Household,2024,1,Wednesday,0,0,7.73,7.73,7.9,3.84,0.0,0,none,0.13,24.59,1.0039,1.0264,0.5192,829,23,0,23,177.85,89.52,-1.2
2024-01-03,S002,West,P008,Household,2024,1,Wednesday,0,0,13.39,12.72,13.75,6.57,0.05,1,feature_display,0.13,68.3,1.0039,1.0264,0.5192,829,34,0,22,279.86,135.34,-1.5
2024-01-03,S002,West,P009,Personal Care,2024,1,Wednesday,0,0,6.3,6.3,6.41,3.03,0.0,0,none,0.13,15.81,1.0039,1.0264,0.5192,829,24,0,13,81.92,42.5,-1.3
2024-01-03,S002,West,P010,Personal Care,2024,1,Wednesday,0,0,11.3,11.3,10.16,5.31,0.0,0,none,0.13,15.08,1.0039,1.0264,0.5192,829,21,0,18,203.37,107.86,-1.6
2024-01-03,S003,Central,P001,Beverages,2024,1,Wednesday,0,0,4.69,4.69,4.89,2.12,0.0,0,none,0.16,13.78,1.0039,1.0264,0.5192,1105,72,0,72,337.76,184.95,-1.8
2024-01-03,S003,Central,P002,Beverages,2024,1,Wednesday,0,0,7.28,7.28,7.78,3.23,0.0,0,none,0.16,23.59,1.0039,1.0264,0.5192,1105,48,1,48,349.37,194.14,-2.1
2024-01-03,S003,Central,P003,Beverages,2024,1,Wednesday,0,0,9.59,9.59,9.97,4.65,0.0,0,none,0.16,8.07,1.0039,1.0264,0.5192,1105,28,0,27,259.03,133.51,-2.4
2024-01-03,S003,Central,P004,Grocery,2024,1,Wednesday,0,0,4.09,4.09,4.25,1.77,0.0,0,none,0.13,16.77,1.0039,1.0264,0.5192,1105,93,0,57,232.99,132.18,-1.4
2024-01-03,S003,Central,P005,Grocery,2024,1,Wednesday,0,0,5.5,5.5,5.72,2.58,0.0,0,none,0.13,29.56,1.0039,1.0264,0.5192,1105,44,0,38,209.16,111.23,-1.7
2024-01-03,S003,Central,P006,Grocery,2024,1,Wednesday,0,0,8.96,8.96,9.2,4.35,0.0,0,none,0.13,28.55,1.0039,1.0264,0.5192,1105,54,0,37,331.38,170.58,-2.0
2024-01-03,S003,Central,P007,Household,2024,1,Wednesday,0,0,7.65,7.65,7.79,3.84,0.0,0,none,0.13,18.88,1.0039,1.0264,0.5192,1105,42,0,32,244.68,121.78,-1.2
2024-01-03,S003,Central,P008,Household,2024,1,Wednesday,0,0,13.36,13.36,13.57,6.57,0.0,0,none,0.13,24.36,1.0039,1.0264,0.5192,1105,36,0,16,213.75,108.65,-1.5
2024-01-03,S003,Central,P009,Personal Care,2024,1,Wednesday,0,0,6.85,6.85,7.18,3.03,0.0,0,none,0.13,22.16,1.0039,1.0264,0.5192,1105,58,0,38,260.24,145.03,-1.3
2024-01-03,S003,Central,P010,Personal Care,2024,1,Wednesday,0,0,11.13,11.13,12.21,5.31,0.0,0,none,0.13,15.83,1.0039,1.0264,0.5192,1105,20,1,20,222.65,116.53,-1.6
2024-01-03,S004,East,P001,Beverages,2024,1,Wednesday,0,0,4.66,4.66,4.48,2.12,0.0,0,none,0.16,21.6,1.0039,1.0264,0.5192,855,60,0,52,242.35,131.99,-1.8
2024-01-03,S004,East,P002,Beverages,2024,1,Wednesday,0,0,7.37,6.49,6.9,3.23,0.12,1,bundle_offer,0.16,59.32,1.0039,1.0264,0.5192,855,76,0,76,492.92,247.12,-2.1
